"ComputerName","Enabled","LastLogonDate","Error"
"BRMAOWN3082404","N/A","N/A","Cannot find an object with identity: 'BRMAOWN3082404' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRPPYWD3112944","N/A","N/A","Cannot find an object with identity: 'BRPPYWD3112944' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWD3084566","N/A","N/A","Cannot find an object with identity: 'BRBRIWD3084566' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3125300","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3125300' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3129356","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3129356' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJGUWN3085472","N/A","N/A","Cannot find an object with identity: 'BRJGUWN3085472' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCRUWN3086324","N/A","N/A","Cannot find an object with identity: 'BRCRUWN3086324' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWD3087126","N/A","N/A","Cannot find an object with identity: 'BRLOZWD3087126' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3150676","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3150676' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJOIWN3116736","N/A","N/A","Cannot find an object with identity: 'BRJOIWN3116736' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBSBWN3090577","N/A","N/A","Cannot find an object with identity: 'BRBSBWN3090577' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBSBWD3088920","N/A","N/A","Cannot find an object with identity: 'BRBSBWD3088920' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3084528","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3084528' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGRUWN3124745","N/A","N/A","Cannot find an object with identity: 'BRGRUWN3124745' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRPPYWD3077237","N/A","N/A","Cannot find an object with identity: 'BRPPYWD3077237' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3128303","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3128303' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRAOWN3087661","N/A","N/A","Cannot find an object with identity: 'BRRAOWN3087661' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGRUWN3088216","N/A","N/A","Cannot find an object with identity: 'BRGRUWN3088216' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRARMWN3086319","N/A","N/A","Cannot find an object with identity: 'BRARMWN3086319' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3085790","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3085790' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRPPYWN3120444","N/A","N/A","Cannot find an object with identity: 'BRPPYWN3120444' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3125180","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3125180' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRPPYWN3084046","N/A","N/A","Cannot find an object with identity: 'BRPPYWN3084046' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRSODWD3135053","N/A","N/A","Cannot find an object with identity: 'BRSODWD3135053' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3085379","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3085379' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCGEWD3113524","N/A","N/A","Cannot find an object with identity: 'BRCGEWD3113524' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRIOWN3090602","N/A","N/A","Cannot find an object with identity: 'BRRIOWN3090602' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3091057","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3091057' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWD3084741","N/A","N/A","Cannot find an object with identity: 'BRLOZWD3084741' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRPPYWD3077233","N/A","N/A","Cannot find an object with identity: 'BRPPYWD3077233' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3117574","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3117574' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRQSBWN3090709","N/A","N/A","Cannot find an object with identity: 'BRQSBWN3090709' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGYNWN3088082","N/A","N/A","Cannot find an object with identity: 'BRGYNWN3088082' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWD3002013","N/A","N/A","Cannot find an object with identity: 'BRCPQWD3002013' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRARMWN3081875","N/A","N/A","Cannot find an object with identity: 'BRARMWN3081875' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBSBWN3130775","N/A","N/A","Cannot find an object with identity: 'BRBSBWN3130775' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWD3095395","N/A","N/A","Cannot find an object with identity: 'BRBRIWD3095395' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3084130","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3084130' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3084552","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3084552' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRRAOWN3129486","N/A","N/A","Cannot find an object with identity: 'BRRAOWN3129486' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3128283","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3128283' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3084657","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3084657' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRAPSWD3061450","N/A","N/A","Cannot find an object with identity: 'BRAPSWD3061450' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRJDIWN3132437","N/A","N/A","Cannot find an object with identity: 'BRJDIWN3132437' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRGRUWN3150688","N/A","N/A","Cannot find an object with identity: 'BRGRUWN3150688' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWD3108697","N/A","N/A","Cannot find an object with identity: 'BRLOZWD3108697' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCWBWN3132234","N/A","N/A","Cannot find an object with identity: 'BRCWBWN3132234' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3129206","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3129206' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRQDQWN3080395","N/A","N/A","Cannot find an object with identity: 'BRQDQWN3080395' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3086332","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3086332' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRBRIWN3125103","N/A","N/A","Cannot find an object with identity: 'BRBRIWN3125103' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRCPQWN3002189","N/A","N/A","Cannot find an object with identity: 'BRCPQWN3002189' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRIEVWN3085016","N/A","N/A","Cannot find an object with identity: 'BRIEVWN3085016' under: 'DC=phx-dc,DC=dhl,DC=com'."
"BRLOZWN3085946","N/A","N/A","Cannot find an object with identity: 'BRLOZWN3085946' under: 'DC=phx-dc,DC=dhl,DC=com'."
